offer,url,status,role
geekly,https://geekly.co.jp/,200,AI/IT転職
workport,https://www.workport.co.jp/,200,未経験IT転職
levtech-freelance,https://freelance.levtech.jp/,200,AI/ITフリーランス
techacademy,https://techacademy.jp/,200,AIスクール
udemy,https://www.udemy.com/,200,低単価学習
momuri,https://momuri.com/,200,退職代行
taishoku-navi,https://musclelove-777.github.io/taishoku-navi/,200,退職導線
